title,jobDescrib,companyName,companyIndustry,companyType,companyScal,companyTage,companyLocation,jobUrl
python开发实习生, 岗位职责： 1、参与AP平台的开发工作，参与需求方案的讨论，保障平台稳定的运行。 2、参与自动化脚本工具的开发 岗位要求：?? 1.熟练掌握Python等至少一种开发语； 2.熟悉Django框架和vue框架 3.有前端开发经历，了解前端开发的基础知识 4.掌握计算机网络相关的知识 5.了解代码管理与版本控制 6.有良好的代码阅读能力，排查错误的能力，合作交流的能力 ,海康威视,电子 通信 硬件,"股份制企业
",2000人以上, 大平台 锻炼多 ,浙江/杭州,https://www.shixiseng.com/intern/inn_w67cxx72ouwx?pcm=pc_SearchList
Python开发实习, 任职要求： 1、本科及以上学历，21-27岁之间，有Python基础且感兴趣 2、熟悉c语言或JAVA，数据库更佳 福利待遇： 1、实习期间带薪（3500-4500），可提供住宿。 2、转正待遇：基本薪资+奖励（根据岗位不同，月薪在4500—8000元），根据岗位工作业绩，逐步提升。三年内月薪可达1W-3W. 3、周末单双休，转正办理五险一金，节假日福利，成熟的员工晋升渠道和丰富的员工活动。 有简历者可直接投递简历，筛选过后，HR会尽快与您联系。 ,云和数据,互联网 游戏 软件,"民营企业
",150-500人, ,郑州,https://www.shixiseng.com/intern/inn_xp0f1iwabrzv?pcm=pc_SearchList
python后端开发工程师, 1、??协助公司量化系统后台的开发维护和管理； 2、??优化公司策略研究平台的框架； 3、??交易数据的分析等； 4、??协助开发交易策略相关的风控运维系统等。 ?? 职位要求： 1、??毕业于理工类专业，全日制本科以上学历，计算机或相关专业； 2、??全面了解python的基本语法，基本数据结构，熟悉numpy，pandas的基本用法和功能，熟悉python的性能特征，熟悉面向对象的设计模式，充分了解动态语言的性质；熟悉python tornado后端框架。 3、??了解数据结构和算法；linux系统、网络协议；熟悉websocket交互； 4、??熟悉??Linux??开发环境，熟练使用??Shell； 5、??有一定的数理统计基础，热爱和数据打交道。 ,触锐信息,互联网 游戏 软件,"民营企业
",15-50人, 弹性工作时间 快乐工作 员工活动 与大拿为伍 发展潜力大 出国旅游 充满挑战 获取经验 高效团队 精心培养 ,,https://www.shixiseng.com/intern/inn_9ul07gm5qzje?pcm=pc_SearchList
Python开发工程师, 职责描述： 1、 协助金融股票、期货程序化交易中各类高频数据的管理、维护、清洗； 2、 优化公司策略研究平台的框架； 3、 交易数据的分析等； 4、 协助开发交易策略相关的风控运维系统等。 ?? 职位要求： 1、 毕业于理工类专业排名前20的高校，全日制本科以上学历，计算机相关专业； 2、 全面了解python的基本语法，基本数据结构，熟悉numpy，pandas的基本用法和功能，熟悉python的性能特征，熟悉面向对象的设计模式，充分了解动态语言的性质； 3、 了解数据结构和算法；linux系统、网络协议； 4、 熟悉 Linux 开发环境，熟练使用 Shell； 5、??有一定的数理统计基础，热爱和数据打交道。 ,思勰投资,金融 经济 投资 财会,"民营企业
",15-50人, 法定节假日休息 薪资福利完善 自由氛围 实习证明 学习空间大 ,上海,https://www.shixiseng.com/intern/inn_zaubhfwanxox?pcm=pc_SearchList
python实习生, 可现场实习。 岗位职责： 1. 参与负责金融数据智能产品的后端设计、开发和优化； 2. 参与负责大数据分析，算法模型在线推理等系统的开发和优化。 任职要求： 1.??使用过python和mysql； 2.??对数据结构，操作系统，计算机网络有一定的了解； 3.??个性开朗，愿意与人交流与分享； 4.可保证一周实习5天，连续4个月以上。 ,感易智能,互联网 游戏 软件,"民营企业
",15-50人, 一流团队 金融数据 AI 快速发展 成长空间++ 高科技 ,北京,https://www.shixiseng.com/intern/inn_3yaqlh15vjnc?pcm=pc_SearchList
爬虫工程师实习生, 【岗位职责】 1、编写抓取互联网及数据库内容的网络爬虫以获取潜在线索； 2、应用机器学习对合格线索进行分类、排序及评估； 3、使用机器学习搜索最新线索； 4、开发并应用自定义Selenium程序以全自动化线索获取过程； 5、研究互联网最新前沿技术及程序，实现搜索最佳化； 6、识别所需内容关键字，实现信息获取最大化； 7、通过网页对比确保相关抓取数据的准确度。 【工作要求】 1、熟悉Python，熟悉Scrapy框架； 2、有丰富的爬虫系统开发、反爬虫经验者优先； 3、熟悉Linux操作系统、熟悉HTTP协议及常用数据结构及算法； 4、熟悉NoSQL数据库(Redis/MongoDB等)，有数据分析经验者优先； 5、熟悉Selenium，有自动化测试经验； 6、熟悉机器学习理论，常用框架以及参数优化等，有良好的数学基础。 【你将获得】 1、工作日九点后交通全额报销：滴滴企业版； 2、最先进生产力工具的体验机会：保障企业内部沟通高效无阻； 3、提高个人职场竞争力的针对建议：生产力提升等； 4、个人职场发展技能培训（企业知识付费、不定期业内独家分享、英文能力提升等）； 5、融洽简单的同事关系、舒适的办公环境和免费健身房； 6、参与科技初创企业的早期发展阶段； 7、增长黑客思维的曝光； 8、科学上网环境； 9、对表现优异者提供可视化的雇员股票期权激励方案。 ,让渡居,房产 家居 物业 建筑,"民营企业
",15-50人, 市场空间广阔 工作氛围透明 增长手段先进 弹性工作制 增长黑客 股票期权 ,全国,https://www.shixiseng.com/intern/inn_5qg44sz4gn4g?pcm=pc_SearchList
图像视频处理算法实习生, 岗位职责： 1. 相关任务的调研； 2. 相关算法的改进及代码实现； 3. 每周周报汇报工作内容； 4. 可能有论文撰写的任务安排； 5.上级领导交办的其他工作项。 任职要求： 1. 有一定的代码能力，比如熟悉python；编程动手能力强者优先； 2. 熟悉深度学习，比如pytorch，tensorflow等；有相关经验者优先； 3. 良好的沟通能力，对深度学习，机器学习兴趣浓厚者优先； 4. 踏实认真，执行力强者优先； 5. 本科或以上学历。 ,中国科学院自动化研究所AiRiA研究院,电子 通信 硬件,"事业单位
",150-500人, 氛围爆好 超级创业团队 有节日礼品 拓展 每年加薪 ,江苏/南京,https://www.shixiseng.com/intern/inn_by4gyemaosg4?pcm=pc_SearchList
深度学习培训导师实习生, 【工作内容】 负责AI方向高端课程项目的课题研究及深度学习教学 1.前沿人工智能的技术研发，基于GPU的分布式深度学习理论框架设计课题，完成相关产品的研发工作； 2.围绕深度学习、大数据相关内容，进行面向中学生、初学者的教学工作。 【任职要求】 1.本科及硕士以上，计算机等相关专业，有深度学习领域相关算法的研究或开发经验者优先； 2.精通python，熟练掌握机器学习、深度学习等相关知识； 3.熟悉深度神经网络的各种模型，如：深度神经网络、卷积神经网络、递归神经网络等； 4.熟悉深度学习的多种开源框架，如Caffe、CNTK、TensorFlow、DIGITS等； 5.有基于深度学习技术，开展过图像目标分类、图像检索、人脸识别等研究的候选者优先； 6.有基于深度学习技术，开展过语义解析、语音识别等研究的优先。 【工作方式】 1.工作时间：非寒暑假每周末1-2天，寒暑假每周4-5天；9:30-17:30 2.250元/天，另有项目奖金，加班有加班工资遵循导师晋升机制的薪资机制 3.工作地点：上海市黄浦区地铁直达，市中心环境优美园区 【你将获得】 1.在技术大牛团队中尝试最新的技术，追求制作新奇的装置，从技术趋势和思路上能影响技术团队朋友获得丰富人脉； 2.STEM创新教育领域领先机构长期稳定的实习实践经历，可开具实习证明 3.福利待遇：免费无限量零食；不定期聚餐；优秀奖金等。 ,奇思科创,教育 培训,"民营企业
",15-50人, 团队融洽有爱 钱途无量 靠谱创业团队 ,上海,https://www.shixiseng.com/intern/inn_rgbpqean65ke?pcm=pc_SearchList
后台开发实习生 — 广告系统," 职位描述： 1、头条广告团队是公司核心团队，负责商业变现，为公司年度收入目标而奋斗； 2、负责头条广告系统，代理商系统, 审核系统等平台开发； 3、完善对内对外广告API的实现； 4、表现优秀有转正机会。 职位要求： 1、计算机相关专业，本科及以上学历，21届及以后 2、良好的算法、数据结构基础，熟悉计算机操作系统、网络、数据库等课程，至少熟悉一门编程语言； 3、要求有后台开发的实习/项目经验，热爱后台技术，熟悉mysql，memcache，redis，消息队列等常用WEB组件者优先； 4、有大规模系统开发经验者优先，熟悉计算广告，或者有相关开发经验者优先。 ",字节跳动,互联网 游戏 软件,"民营企业
",2000人以上, 亿级日活平台 今日头条 抖音 年轻、扁平、透明 免费三餐健身房 租房补贴 ,北京,https://www.shixiseng.com/intern/inn_rcq8y0oworro?pcm=pc_SearchList
Python实习生, 【岗位职责】 1.负责指定网页的定向抓取和页面内容的提取分析 2.爬虫框架的架构设计，反爬技术突破，保障稳定的数据获取能力； 【岗位要求】 1.本科及以上学历 2.熟悉python/javascript语语言，熟悉Linux开发环境和常用命令 3.熟悉htm/css/xpath/ajax/xml等常用web知识 4.精通网页抓取原理及技术，熟悉正则表达式，从结构化和非结构化的数据中获取信息 5.能够解决封账号，封IP采集等问题，解决网页抓取，信息抽取等问题，构建完善的网络信息收集平台 6.有实际的爬虫开发经验，有解决反爬经验尤佳 7.能够独立解决问题能力，有良好的团队协作和沟通能力 ,自如网,房产 家居 物业 建筑,"民营企业
",2000人以上, 自由氛围 与大拿为伍 90后为主 发展机会 ,北京,https://www.shixiseng.com/intern/inn_5anlohrwvtdh?pcm=pc_SearchList
Python实习生, 岗位职责： 1、负责公司产品管理后台的开发； 2、负责产品功能模块设计与实现； 3、负责数据库优化，产品功能的改进。 任职要求： 1、985/211本科在读或硕士在读，能较熟练使用Python，认同Python的程序设计理念； 2、扎实的计算机基础知识，熟悉常见的数据结构与算法，操作系统以及关系型数据库基础知识； 3、逻辑性强，具有优秀的学习能力，自驱力； 4、良好的问题分析和解决能力，有学习技新技术的热情； ,元长信息科技,互联网 游戏 软件,"民营企业
",少于15人, 地铁旁 成长机会大 超强团队 漕河泾开发区 实习工资不少 技术大牛带教 BAT 气氛浓厚 ,上海,https://www.shixiseng.com/intern/inn_dctgqzfeu8tj?pcm=pc_SearchList
软件研发工程师," 工作职责：?? - 参与公司大数据平台，人工智能应用方面的前后端工作 职位要求：?? - 计算机或统计专业的应届本科、硕士或者博士?? - 扎实的计算机基础 - 熟练掌握至少一种主流编程语言,如:C++, python等?? - 具有良好的沟通能力 - 有云计算、机器学习实践经验优先 实习薪资:100元~150元/天 ????每周出勤5天 ?? ",basebit.ai,互联网 游戏 软件,"中外合资企业
",50-150人, 周末双休& 五险一金 定义未来 弹性工作 股权激励 ,上海,https://www.shixiseng.com/intern/inn_b3lyjrztfber?pcm=pc_SearchList
Python开发实习, 亲子阅读创业项目诚招应届实习生加入。 前腾讯、点评资深员工做为创始人带队！ 还等什么赶紧加入！小梦想万一实现了呢！ 【岗位职责】 数据库的设计、搭建、维护 【任职要求】 1.熟练使用python开发语言。 2.熟悉各种网络协议，例如http tcp udp等。 3.了解自然语言处理和文本处理，具备相关经验优先。 4.熟悉数据库dbms系统基本原理，会使用sql等查询语言。 5.了解爬虫原理，有无头游览器爬虫开发经验优先。 【你将获得】 我们关心每一位员工的成长 实习一周5天以上，至少连续3个月； 表现优异会留用，并且往公司骨干方向培养； 待遇及福利：基本薪资：4000~9000/月，乘以考核系数； 饭补：周二、四下午水果；加班到8点后，可以免费点加班餐。 ,四班,互联网 游戏 软件,"民营企业
",15-50人, ,上海市/上海,https://www.shixiseng.com/intern/inn_upeiqdpsfjcv?pcm=pc_SearchList
NLP算法实习生, 岗位职责： 协助语义搜索、自然语言问答、智能人机对话系统中的算法策略建立。 任职资格： 1、计算机、语言技术、数学等相关专业在读本科或硕士研究生； 2、有机器学习和自然语言处理等相关开发经验优先；有一定的相关算法经验优先； 3、有词汇学、语料库标注构建和分析、知识库、知识表示和知识图谱等相关经验优先； 4、具备扎实的JAVA或者python编程能力，有正规良好的软件系统开发工程经验，有数据库开发经验； 5、有很好的分析解决问题能力，有很强的学习愿望和能力，有良好的团队精神； 6、英语能力好优先； 7、每周实习3-5天，实习3个月及以上。 ,唯品会,互联网 游戏 软件,"民营企业
",2000人以上, 福利体检 包三餐 最具前景公司 免费茶饮 ,,https://www.shixiseng.com/intern/inn_x8h6gzaal8dd?pcm=pc_SearchList
爬虫实习生," 岗位职责： 1、负责爬虫平台数据源规则管理 2、参与爬虫需求开发及维护； 岗位要求： 1、熟悉正则表达式，了解XPATH，Beautiful soup,Jsoup,Css选择器，能够从结构化和非结构化数据中提取信息； 2、熟悉Python语言，了解常用爬虫框架如pyspider等。熟悉反爬虫技术及破解方法； 3、对git版本管理有所了解 4、了解并简单运用linux系统 5、对基本数据库mysql 、mongo有所了解 ",阿博茨科技,互联网 游戏 软件,"外资企业
",150-500人, 互联网创新公司 产品+技术驱动 人工智能驱动 估值高 免费下午茶 健康午餐 14薪 大牛 ,南京,https://www.shixiseng.com/intern/inn_9ofrtku6zq2t?pcm=pc_SearchList
自动化开发运维架构师, 1.?????????? 从事基于微软亚洲研究院技术的人工智能基础设施管理平台的定制开发和搭建以及维护； 2.?????????? 在系统架构、部署、平台接口方面进行优化，二次开发，向应用层提供稳定的平台运行环境和接口； 3.?????????? 负责相关技术文档的编写； 4.?????????? 有比较强的学习新知识的能力和积极的工作态度。 任职要求： 1.???????? 2020届应届毕业生，或研究生，精通Python， 熟悉自动化运维工具； 2.???????? 熟悉Linux系统，熟悉Shell脚本和Linux系统工具； 3.???????? 熟悉Kubernetes的架构、原理、搭建和运行； 4.???????? 对Azure、自动化运维体系、DevOps运维理念有深入理解和实践经验优先。 招聘人数： 1人 ,微软-仪电人工智能创新院,互联网 游戏 软件,"国有企业
",15-50人, 实习留任 富有挑战 留用转正机会 人工智能 ,上海市/上海,https://www.shixiseng.com/intern/inn_9holzkp67yhd?pcm=pc_SearchList
爬虫实习生（Python）, 工作职责： 1、爬虫开发。 任职要求： 1、熟练掌握Java\python语言，深入理解TCP、HTTP等网络协议； 2、熟悉Web、App模拟登录过程，了解授权访问机制； 3、掌握基于正则表达式xpath css等页面信息提取技术及网页去重技术； 4、熟悉各类反爬虫机制和反反爬虫解决方案； 5、了解MySQL、MongoDB、PostgresSQL等数据库； 6、有爬虫开发经验加分； 7、认真细致、积极主动，有解决问题的耐心和灵活性。 ,第一财经,广告 传媒 公关 展览,"民营企业
",150-500人, 丰厚薪水 留用机会 国有企业 成长空间 ,上海,https://www.shixiseng.com/intern/inn_u4n8q0v6zsrf?pcm=pc_SearchList
python测试实习（大易测试用职位勿投）, 岗位职责: 1、分析客户需求，独立完成将客户需求转换成测试用例，提升改进已有测试；； 2、有效地执行测试用例，提交Bug，编写测试报告及测试相关文档； 3、能够根据项目要求，独立搭建测试环境； 4、对测试中发现的问题能够进行全面整理分析和判断，并给出合理化改进意见； 5、准确地定位并跟踪问题，推动问题及时合理地解决。 任职资格: 1、本科以上学历，熟悉软件测试过程，有意愿向软件测试和系统测试工作方向长期发展； 2、英语四级以上，能熟练读写英文文档； 3、工作态度积极主动，责任心强，具有良好的沟通能力及团队合作精神。 ,大易云,互联网 游戏 软件,"股份制企业
",150-500人, ,上海,https://www.shixiseng.com/intern/inn_qndl5yucmasg?pcm=pc_SearchList
数据清洗工程师, 一、岗位职责： 1.参与数据采集平台的开发和自动化运维。 2.参与大数据采集、数据可视化呈现的工作。 3.编写数据分析和清洗脚本。 4.参与其他IT方面的建设工作。 二、任职资格： 1.熟练掌握Python语言，编程基础扎实，熟悉常见数据结构。 2.熟悉关系型数据库，能编写复杂SQL，了解MongoDB，Redis优先。 3.熟悉Pandas，Nump，Arima等数据分析库优先。 4.熟悉Flask或Django等Web框架，有分布式系统设计及开发经验优先。 5.思路清晰，学习能力强，踏实肯干，具有较好的团队合作精神。 6.计算机或相关专业本科及以上学历（一本以下请勿投递），亦欢迎优秀应届毕业生投递简历。 三、我们能提供的： 1.以结果为导向的薪酬福利体系；具有竞争力的基本工资，丰厚的绩效奖金（绩效奖金上不封顶，优秀员工可以拿到6个月以上的绩效奖金） 2.优秀人才有机会参与员工持股计划分享公司分红 3.5-12天带薪年假，远超国家规定和一般企业5天的标准 4.在高速发展的朝阳行业里，提供施展个人能力的广阔空间和快速成为公司核心成员的晋升通道 5.全球化、高素质的团队氛围和英文的工作环境：团队成员分别来自中国大陆、美国、韩国、香港等多个国家和地区，毕业于清华大学，香港大学，英国沃里克大学等。 ,Sandalwood Advisors,金融 经济 投资 财会,"股份制企业
",50-150人, 全球化的工作团队.全英文工作环境 薪酬待遇优厚 大数据 投资咨询 优厚的绩效奖金 持股分红 全球化的工作团队 数据处理与分析 带薪年假 ,香港,https://www.shixiseng.com/intern/inn_110d5rowipjl?pcm=pc_SearchList
【2020校招】爬虫工程师, 【有以下装备者欢迎投递】 ?? ---你需要参与--- 1.参与优化算法，提升爬虫系统的稳定性、可扩展性； 2.编写抓取互联网内容的爬虫； 3.研究各种网页、app接口，探寻特点和规律； 4.参与攻破各种反爬虫。 ???? ---我们对你的要求--- 1.本科及以上计算机相关专业在校生，毕业前可实习3个月以上，每周至少3天实习时间（可提前获得毕业正式offer）； 2.熟悉Python，掌握爬虫技术，熟悉scrapy框架、pyspider框架等，有爬虫系统开发实习经验者优先； 3.熟悉Linux操作系统、熟悉HTTP协议及常用数据结构及算法，熟悉 Storm/Kafka； 4.熟悉至少一种Sql数据库(mysql/postgresql/sqlserver/oracle/db2)，了解至少一种Nosql数据库(redis/memcache/mongodb/hbase)； 5.有反爬虫、数据分析经验者优先； 6.热爱电竞游戏者优先。 ---我们为你提供--- 1.加入优秀的互联网研发团队，给足挑战与空间，获得加速成长； 2.新生培训计划+一对一导师制+远超出行业平均水平的实习薪资； 3.转正后年底双薪+无上限年终奖+10天带薪年假； 4.电竞椅办公又酷又舒适+定期体检+周末双休拒绝996，身体才是革命的本钱； 5.周三尖叫之夜，大家一起开黑、桌游、switch..?? 6.每周各部门分享沙龙，培养T型人才，零食下午茶、无限量饮料必不可少； 7.小黑屋电竞馆尽享员工优惠，同事也是你的最强队友.. ,小黑盒&Max+,互联网 游戏 软件,"民营企业
",50-150人, 电竞游戏 互联网大数据 创新思维 BAT大牛团队 行业巨头 环境氛围好 转正机会 周末双休 无限供应零食及下午茶 每周团建&团队旅游 ,北京,https://www.shixiseng.com/intern/inn_rcsmiygwdwzp?pcm=pc_SearchList
Python初级开发工程师（宝安）, 岗位职责： 1、主要负责Web开发和维护，会涉及到小部分爬虫和脚本的开发，以及部分数据的清洗分析； 2、负责协同开发人员完成项目开发，效率准确的完成协作； 3、关注性能，提交报告，提升用户体验。 岗位要求： 1、年龄18-30，大专及以上学历，计算机相关专业优先； 2、能够熟练使用python，java等任意编程语言； 3、对Django和Flask框架有基础的优先考虑； 4、此岗位为初级岗，接受优秀应届毕业生或实习生。 ,智联慧通,互联网 游戏 软件,"民营企业
",150-500人, 晋升制度明确 老板人超好 双休一金 牛人团队 提供茶饮零食 拿现金抵梦想 ,广东/深圳,https://www.shixiseng.com/intern/inn_hfx3yqkelgmm?pcm=pc_SearchList
Python初级开发工程师, 岗位职责： 1、主要负责Web开发和维护，会涉及到小部分爬虫和脚本的开发，以及部分数据的清洗分析； 2、负责协同开发人员完成项目开发，效率准确的完成协作； 3、关注性能，提交报告，提升用户体验。 岗位要求： 1、大专及以上学历，计算机相关专业优先； 2、能够熟练使用python，java等任意编程语言； 3、对Django和Flask框架有基础的优先考虑； 4、此岗位为初级岗，接受优秀应届毕业生或实习生。 ,智联慧通,互联网 游戏 软件,"民营企业
",150-500人, 晋升制度明确 老板人超好 双休一金 牛人团队 提供茶饮零食 拿现金抵梦想 ,广东/深圳,https://www.shixiseng.com/intern/inn_hgc4cml8348a?pcm=pc_SearchList
数据实习生, 岗位职责： 1. 负责系统数据整理及维护； 2. 负责完成领导交办的其他工作； 任职资格： 1. 本科及以上学历，计算机相关专业毕业（或有专业培训经验）； 2. 熟悉Python及相关工具，有项目经验优先。 3. 具有较好的沟通能力和团队协作能力。 本岗位提供转正机会，完善的培训、晋升体系。 弹性工作 五险一金 带薪年假 节日福利 加班补助 全额公积金 ,智保云,互联网 游戏 软件,"民营企业
",15-50人, 弹性办公 年轻&a活力 发展潜力巨大 下午茶 培训 年度旅游 ,四川/成都,https://www.shixiseng.com/intern/inn_3ul4l5medjcc?pcm=pc_SearchList
Python后台实习生(爬虫/数据挖掘), 【岗位职责】 1、负责构建垂直类爬虫架构，智能抓取系统设计与研发 2、负责提升爬虫抓取效率和质量（如分析预测、质量判断、反封禁等） 3、负责HTTP、AJAX等各类网络请求分析，探索和研究高效的数据抓取解决方案 4、有余力，可以参与后端开发或者文本挖掘相关工作，选择空间大 ?? 【任职要求】 1、重点院校统招全日制硕士学历，2021-2022届毕业生，计算机信息科学、软件开发、人工智能、通信等相关专业； 2、每周可实习4天以上，总实习周期在4个月以上 3、扎实的数据结构和算法功底；熟练使用Python/PHP等脚本语言 4、良好逻辑思维能力、学习能力、团队合作精神，对挑战性问题充满激情 5、有多线程、网络数据处理经验优先（如HTTP协议，AJAX，爬虫开发，浏览器内核开发，Web服务开发等） 【福利待遇】 1、季度团建:公司为每个部门提供丰厚的季度团建活动经费，优秀团队还可额外增加团建活动经费。 2、零食、水果、早餐:公司提供多种多样超值零食、饮料、新鲜水果。 3、节庆礼品:公司为每位员工准备了新年红包、生日及节日礼物。 4、丰富的培训机会:全面的入职培训，教练制度，定期展开精彩主题讲座。 5、公司环境:弹性工作时间，配Mac办公设备，办公环境优雅惬意，360度绝佳视野工位。 6、实习生优享福利:实习期间有实习补贴、商业保险、生日蛋糕券、节庆礼品等。 ,北京云锋,互联网 游戏 软件,"民营企业
",50-150人, 业界牛人 可观的实习补贴 学习成长快 提供转正机会 水果咖啡 互联网金融 技术氛围好 开放创新 热情团队 都是年轻人 ,北京,https://www.shixiseng.com/intern/inn_wcfhgaa0zw1n?pcm=pc_SearchList
研发实习生, 你来做的事： 岗位职责： 实现容器云产品的定制开发 参与设计容器云产品的架构和解决方案 我们希望你： 任职要求： 985/211学历，计算机/物理/数学等相关专业，有半年以上的实习期，每周出勤4天以上 有一些前端开发经验，熟悉常用的前端框架，比如Angular/React/VueJS 熟悉Go/Python 2种语言中的1种 ,99cloud,互联网 游戏 软件,"民营企业
",150-500人, 节日福利 学习机会多多 氛围好有提升 ,上海,https://www.shixiseng.com/intern/inn_dax3ucys0nu4?pcm=pc_SearchList
Python工程师, 职位描述： 1、负责了解业务流程涉及的系统情况、以及数据流向、处理规则等； 2、负责流程调研梳理、流程机器人流程设计和场景配置等RPA实施工作； 3、负责流程机器人管理平台安装以及运营维护； 4、使用AI人工智能技术实现业务需求 4、优秀的逻辑思维，快速学习和接收新事物的能力，强烈的结果导向意识； 任职要求： 1、专科，计算机、信息系统管理、软件等相关专业； 2、至少从事一年以上Python/Java编程开发经验； 3、掌握一定的业务需求梳理工作，熟悉Uipath、Blueprism等RPA产品优先； 4、具有一定的编程基础，具有python等开发经验者优先； 6、具有良好的逻辑分析能力，接受新事物及学习能力强； 7、注重团队合作，抗压能力强。 ,AMT,企业服务 咨询,"股份制企业
",500-2000人, ,上海,https://www.shixiseng.com/intern/inn_rye0cjdfxksl?pcm=pc_SearchList
python初级工程师, 岗位职责 1. 负责视频服务的开发与维护，包含视频的上传、转码、截图、存储等服务； 2. 负责定制爬虫的开发与维护； 岗位要求 1. 计算机及相关专业本科及以上学历； 2. 熟悉Python语言； 3. 熟悉http协议，熟悉html，了解爬虫相关知识优先； ,巴乐克科技,互联网 游戏 软件,"民营企业
",150-500人, 同事年轻友好 高端人才合作 ,广东/广州,https://www.shixiseng.com/intern/inn_fuaqi03rpnvo?pcm=pc_SearchList
Python数据处理实习生, 【岗位职责】 1.??负责业务相关技术对接、数据处理、系统对接； 2.??协助开发产品代码； 2.??参与产品架构讨论和团队工作的建； 3.??响应其他业务需求； 【任职要求】 1.??熟练使用Python用于数据处理； 2.??计算机编程基础扎实，理解运用面向对象概念； 3.??对Pandas等数据处理框架和数据可视化框架理解的优先考虑； 4.??有责任心、能吃苦、学习能力强； 5. 能快速响应需求，逻辑清晰，善于团队协作和沟通； ,巴乐克科技,互联网 游戏 软件,"民营企业
",150-500人, 同事年轻友好 高端人才合作 ,广东/广州,https://www.shixiseng.com/intern/inn_doilykpvelfr?pcm=pc_SearchList
后端开发架构师（PHP、PYTHON）, 岗位职责： 1、参与公司相关网站、微信小程序等产品或项目需求的分析、架构设计与实现； 2、严格遵守团队的代码格式、结构的规定，编写易读、易维护、高质量、高效率的代码； 3、具备良好的架构分析能力与设计能力，参与前期设计； 4、负责底层架构设计、服务器接口开发，利用各种技术提升服务性能； 5、服从公司的发展要求，配合公司的工作安排； 6、负责配合上级完成公司的基本项目开发； 任职要求： 1、大专在读或以上学历； 2、熟悉PHP语言； 3、了解PHP框架(thinkphp或yii等)； 4、了解mysql、mongodb、redis等db； 5、有接口开发经历优先，能够很好的与前端合作完成任务； 6、有WordPress或Drupal等开源php内容管理系统开发经验优先； 6、有centos、debian或ubuntu等linux服务器基本的操作经验，熟悉编写shell、python脚本优先。 ,巴乐克科技,互联网 游戏 软件,"民营企业
",150-500人, 同事年轻友好 高端人才合作 ,广东/广州,https://www.shixiseng.com/intern/inn_klg8hqjkr6fz?pcm=pc_SearchList
物联网安全Python开发实习生, 岗位职责： 1、负责跟进最新的物联网漏洞报告； 2、负责部分物联网漏洞的验证脚本开发； 3、负责物联网设备的协议和应用漏洞分析部分工作； 任职要求： 1、计算机和网络空间安全相关专业的大专及以上学历； 2、熟练掌握Python编程、网络安全和计算机网络相关知识，熟悉常见的网络协议； 3、对漏洞分析和验证具有较强的兴趣和一定基础； 4、做事严谨踏实，责任心强，条理清楚，善于学习总结，有良好的团队合作精神和沟通协调能力。 ,巴乐克科技,互联网 游戏 软件,"民营企业
",150-500人, 同事年轻友好 高端人才合作 ,广东/广州,https://www.shixiseng.com/intern/inn_m1fwtvo1zhp9?pcm=pc_SearchList
数据库架构师, 岗位详情： 1、理解业务需求，负责公司项目的技术架构规划、实施、运维； 2、负责系统性能优化、安全加固、代码质量管控，保证项目安全、稳定、高效运行； 3、负责各数据库集群规划、故障处理，并对数据库进行持续性能优化； 4、负责数据库开发支持，对相关业务做设计评审，SQL代码审核等； 5、为公司内部开发人员提供必要的咨询和相关培训。 任职资格： 1、计算机及相关专业，本科以上学历； 2、熟练使用linux、nginx、tomcat、git服务器，能熟练应用常见开源软件及性能调优。精通sql及nosql相应数据库架构，熟悉hadoop、spark等大数据技术； 3、掌握分布式、高并发、高容错性环境下技术架构设计、系统分析、技术选型、性能优化、系统安全； 4、具有微服务架构规划、设计、标准规范制定等经验，熟悉基于springboot\springcloud的微服务架构及基于docker、k8s等容器技术； 5、熟悉devops体系流程和工具。 6、985、211院校毕业的优先考虑。 ,利郎,农林牧渔 其他,"民营企业
",2000人以上, 发展平台大 工作能力锻炼 ,晋江,https://www.shixiseng.com/intern/inn_mdd96va6c139?pcm=pc_SearchList
大数据实习工程师," 1、完善的带薪培训体系 2、年薪20-30万 3、金融大数据平台的搭建与开发 4、优先入职到50家国家银行及世界500强企业 1.负责字节跳动海量数据的处理,在分布式计算平台基础上建立高效、实时的数据 pipeline&semi 2.负责产品数据分析,发现模式与规律,为实验解释、系统改进提供数据支持&semi 3.负责 Hadoop,Spark 等大数据基础设施和平台的改进,解决大规模生产环境集群可用性和性能优化问题。 ",海融软件,互联网 游戏 软件,"民营企业
",150-500人, 高薪创业之路 各类补助 福利待遇好 ,河南/郑州,https://www.shixiseng.com/intern/inn_nymbqw8jnzwc?pcm=pc_SearchList
大数据\人工智能实习工程师, 1、进行业务系统数据库的规划、设计、实施，设计并优化数据库物理建设方案；?? 2、对数据库进行管理，负责数据库应用系统的运营及监控；?? 3、业务系统数据库的定期维护和异常处理；?? 4、对数据库性能分析与调优，排错，保证数据安全；?? 5、对数据库进行定期备份、和按需恢复；?? 6、配合其他部门进行的数据处理、查询，统计和分析工作。 7、负责数据产品概念设计与数据产品开发； 8、研究主流数据库及开发技术，参与人工智能研究。 ,海融软件,互联网 游戏 软件,"民营企业
",150-500人, 高薪创业之路 各类补助 福利待遇好 ,河南/郑州,https://www.shixiseng.com/intern/inn_oshxyip5tyrq?pcm=pc_SearchList
